Cod.,descrizione breve,Long,Lat,Territorio,Localizzazione,Venue,CUP,Descrizione lunga,Finalità,Totale quadro economico,Soggeto attuatore,Stazione Appaltante,procedura ambientale,Riferimento normativo procedura ambientale,data fine procedura ambientale,procedura autorizzativa,Riferimento normativo procedura autorizzativa,data fine procedura autorizzativa,data aggiudicazione,Aggiudicatario,Data inizio Lavori,Data fine Lavori,Fase dell'intervento,Certificazione dell'Opera,Tipo Legacy,fine ante olimpiadi,commissario,data pubblicazione dati
A01.0,Nuovo impianto di innevamento dello stadio del Biathlon,12.15315006609745,46.88484235791036,Area Dolomitica - Bolzano,Comune di Rasun Anterselva,Stadio del Biathlon di Anterselva,I51B21003640004,"L'intervento prevede la realizzazione di un nuovo impianto di innevamento delle piste da sci da fondo di Anterselva con la realizzazione di un'opera di captazione dell‘acqua dal Rio Anterselva, la costruzione di un edificio con impianto di pompaggio nella rete di distribuzione e verso il bacino artificiale. Saranno inoltre realizzate condotte di distribuzione dell’acqua lungo il percorso delle piste da sci e condotte di collegamento al bacino artificiale per adduzione/derivazione dell’acqua per l’innevamento. Saranno installati generatori di neve fissi e mobili lungo il percorso delle piste da sci e verrà posizionata una macchina per la produzione di neve sopra i zero gradi.",Evento olimpico,7553746.89,Comune di Rasun Anterselva,Comune di Rasun Anterselva,Verifica Assoggettabilità a VIA,art. 19 dlgs 152/2006 e ss.mm.ii,2022-07-18 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2022-07-18 00:00:00,2022-11-09 00:00:00,Ati: Technoalpin S.p.A. - Karl Wieser OHG,2023-05-31 00:00:00,2024-12-21 00:00:00,concluso,---,---,,,2026-01-22
A02.1,"Riqualificazione trampolini, sala atleti, torre giudici e tribuna allenatori - UMAF 0 Demolizioni e viabilità",11.60410585697533,46.32964636625356,Area Dolomitica - Trento,Comune di Predazzo,Ski Jumping Stadium Predazzo,I28I21000270003,"L'intervento prevede le demolizioni dei trampolini K90 e K120 e il potenziamento della viabilità interna al Centro del Salto del comune di Predazzo con l'allargamento strada. E' progettata la messa in sicurezza e l'asfaltatura della via dalla zona Castellani alla cima del trampolino HS104, la  sostituzione e l'integrazione dei guardrail presenti e la realizzazione di scogliere di altezza variabile a contenimento del terreno a monte della strada.",Evento olimpico,2583134.4,Comune di Predazzo,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2022-07-11 00:00:00,2022-08-16 00:00:00,Ati: Zugliani s.r.l. - Zampedri,2022-10-26 00:00:00,2024-10-08 00:00:00,concluso,---,---,,,2026-01-22
A02.2,"Riqualificazione trampolini, sala atleti, torre giudici e tribuna allenatori - UMAF 1 Opere sportive principali",11.60410585697533,46.32964636625356,Area Dolomitica - Trento,Comune di Predazzo,Ski Jumping Stadium Predazzo,C24J23000310003,"L'intervento prevede la realizzazione dei nuovi trampolini HS109 e HS143 con il rifacimento di piste di lancio e delle piste di atterraggio oltre alla costruzione di  un nuovo edificio per i giudici di gara e postazione tv. Ex novo anche le  tribune allenatori con riposizionamento e potenziamento tecnologico, fornitura e posa di torri faro e conseguente estensione e potenziamento della rete di distribuzione, dell’impianto di forza motrice e delle cabine di media tensione",Evento olimpico,37181702.4,Comune di Predazzo,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2022-07-11 00:00:00,2023-07-14 00:00:00,ATI Edilvanzo s.r.l. - Elettroteam s.r.l. - Mo.Ca.M. s.r.l.,2024-06-12 00:00:00,2025-12-23 00:00:00,concluso,---,---,,,2026-01-22
A02.3,"Riqualificazione trampolini, sala atleti, torre giudici e tribuna allenatori - UMAF 2 Innevamento ed Ascensore inclinato Comune di Predazzo",11.60410585697533,46.32964636625356,Area Dolomitica - Trento,Comune di Predazzo,Ski Jumping Stadium Predazzo,C24J23000320003,"L’intervento consiste nella realizzazione di un ascensore inclinato della capienza di 20 persone, comprese le opere civili nonché la fornitura, la posa ed il posizionamento dei cannoni spara neve. ",Evento olimpico,8992823.2,Comune di Predazzo,Provincia Autonoma di Trento,Verifica Assoggettabilità a VIA,art. 19 dlgs 152/2006 e ss.mm.ii,2022-05-23 00:00:00,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2022-07-11 00:00:00,2024-08-20 00:00:00,"LEITNER SPA, DEMACLENKO IT SRL, COSTRUZIONI MAZZEL SRL",2025-02-24 00:00:00,2025-10-07 00:00:00,concluso,---,---,,,2026-01-22
A03.1,Villaggio Olimpico Predazzo presso la Guardia di Finanza Lotto Funzionale 1 - Realizzazione nuovo edificio sviluppato su quattro piani fuori terra,11.59954478134314,46.30885081238575,Area Dolomitica - Trento,Comune di Predazzo,Mountain Olympic Village,C28C21000100009,L’intervento prevede la realizzazione del nuovo padiglione Olimpico presso la sede della Guardia di Finanza. Il nuovo edificio sarà sviluppato su quattro piani fuori terra per un totale di circa 400 posti letto e sarà realizzato con strutture in legno garantendo così un'alta prestazione energetica. ,Evento olimpico,25301109.98,Provincia Autonoma di Trento,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-08-11 00:00:00,2024-06-06 00:00:00,Rti Martinelli - Benoni e Cipiemme,2024-06-19 00:00:00,2025-12-31 00:00:00,concluso,---,---,,,2026-01-22
A03.2,Villaggio Olimpico Predazzo presso la Guardia di Finanza Lotto Funzionale 2 - Padiglione Latemar: demolizione e ricostruzione di un edificio,11.59954478134314,46.30885081238575,Area Dolomitica - Trento,Comune di Predazzo,Mountain Olympic Village,C28C21000110009,L’intervento prevede la demolizione e ricostruzione del padiglione Latemar che si distibuirà su tre piani garantendo 132 nuovi posti letto. ,Evento olimpico,8139306,Provincia Autonoma di Trento,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-08-11 00:00:00,2024-03-28 00:00:00,Impresa Tollot Costruzioni srl,2024-05-09 00:00:00,2025-10-14 00:00:00,concluso,---,---,,,2026-01-22
A03.3,Villaggio Olimpico Predazzo presso la Guardia di Finanza Lotto Funzionale 3 - Padiglione Macchi: Riorganizzazione spazi riqualificazione sismica,11.59954478134314,46.30885081238575,Area Dolomitica - Trento,Comune di Predazzo,Mountain Olympic Village,C28C21000120009,"L’intervento prevede la riorganizzazione degli spazi dei tre piani del padiglione Macchi con un miglioramento anti- sismico della struttura, in ottemperanza ai vincoli della Soprintendenza dei Beni Architettonici. ",Evento olimpico,8331990,Provincia Autonoma di Trento,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2023-08-11 00:00:00,2024-04-04 00:00:00,Consorzio Lavori Ambiente - C.L.B. + Clera e Gamma Scavi e Costruzioni,2024-05-09 00:00:00,2025-11-10 00:00:00,concluso,---,---,,,2026-01-22
A03.4,Villaggio Olimpico Predazzo presso la Guardia di Finanza Lotto Funzionale 4 -  Padiglione Nicolaucich: organizzazione degli spazi sottotetto,11.59954478134314,46.30885081238575,Area Dolomitica - Trento,Comune di Predazzo,Mountain Olympic Village,C28C21000130009,L’intervento prevede l’organizzazione degli spazi del primo piano e del sottotetto del padiglione Nicolaucich per ottenere 76 nuovi posti letto. ,Evento olimpico,1386714.02,Provincia Autonoma di Trento,Provincia Autonoma di Trento,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,n.d.,n.d.,n.d.,2024-01-19 00:00:00,Edil Martinol s.r.l.,2024-01-29 00:00:00,2024-07-26 00:00:00,concluso,---,---,,,2026-01-22
A04.0,Servizio di allestimento del Villaggio Olimpico di Cortina d'Ampezzo,12.115402,46.572621,Area Dolomitica - Veneto,Comune di Cortina,Villaggio olimpico,J41B21011120003,"L'intervento prevede la realizzazione del Villaggio temporaneo che accoglierà gli atleti olimpici e paralimpici. Il design enfatizza la sostenibilità mirando a ridurre l'impatto ambientale attraverso il recupero delle strutture, la riciclabilità dei materiali, l'efficienza energetica e l'uso di energie rinnovabili. La realizzazione dell'opera si articola in tre fasi: costruzione dell'infrastruttura, allestimento per i Giochi e successiva disassemblaggio al termine delle competizioni. Si provvederà quindi al ripristino delle aree. ",Evento olimpico,40218676.87,SIMICO S.p.A.,SIMICO S.p.A.,ottenuto parere preventivo ai sensi dell',art. 3 di cui alla D.G.R. 1678 del 17/10/2017,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2024-07-30 00:00:00,2024-10-03 00:00:00,ATI - CRIPPACAMPEGGIO s.r.l - LOSBERGER DE BOERINTERNATIONAL B.V - F.LLI DE PRA S.p.A.,2024-12-18 00:00:00,2025-10-30 00:00:00,concluso,---,---,"Ultimazione lavori di disallestimento:
04/12/2026",,2026-01-22
A06.0,"Riqualificazione delle aree contermini di accesso alla venue di gara ""Stelvio Alpine Centre"" a Bormio (SO).",10.37073472018964,46.46632344719934,Lombardia,Comune di Bormio,Stelvio Alpine Centre,J94E21002880001,"L'intervento, ubicato all'interno del Comune di Bormio,  prevede la riqualificazione delle aree di accesso e il miglioramento della viabilità verso lo Ski Stadium, grazie alla realizzazione di una rotatoria parzialmente sormontabile a tre bracci.",Legacy,1260000,SIMICO S.p.A.,SIMICO S.p.A.,non prevista ai sensi del,D.Lgs. 152/2006 data la natura dell'intervento,n.d.,Conferenza di Servizi Decisoria,"art. 14, comma 2, L. 241/1990 e ss.mm.ii.",2024-07-05 00:00:00,2025-01-28 00:00:00,ECOEDILE S.R.L.,2025-04-15 00:00:00,2025-12-18 00:00:00,concluso,---,Stradali/Ferroviari,,,2026-01-22
